,loss,val_loss,mssim,val_mssim
0,126797.7109375,259121.28125,0.29077431559562683,0.3474512994289398
1,125627.6328125,243999.53125,0.3040802776813507,0.37104642391204834
2,156476.6875,242179.28125,0.293729692697525,0.3485518991947174
3,69460.7734375,62562.0234375,0.4625924825668335,0.5602868795394897
4,28319.92578125,28669.20703125,0.5747230648994446,0.643760621547699
5,24643.97265625,27247.8125,0.5937579274177551,0.6504629850387573
6,23398.865234375,25993.150390625,0.5997661352157593,0.6551133394241333
7,22748.267578125,31341.587890625,0.6049489378929138,0.6407597661018372
8,23709.072265625,35937.63671875,0.6028229594230652,0.6259478330612183
9,23194.46875,30782.65625,0.6025586128234863,0.6435916423797607
10,22401.96875,34547.734375,0.6059157252311707,0.6287546157836914
11,22841.509765625,34166.5625,0.6053110361099243,0.6297577619552612
12,22263.44921875,28660.703125,0.6082101464271545,0.6456687450408936
13,22549.521484375,33588.15234375,0.605795681476593,0.6266318559646606
14,21631.787109375,27867.32421875,0.6119226813316345,0.6522048115730286
15,22026.62890625,31545.01953125,0.6104480624198914,0.6362422108650208
16,20844.41015625,33065.5546875,0.6140936017036438,0.638947606086731
17,22066.00390625,32175.82421875,0.609423816204071,0.6336013078689575
18,21580.5859375,28942.494140625,0.6107848286628723,0.6419163346290588
